Date and Time (UTC),Transaction ID,Address,Amount,Manual
2017-12-08 23:05,435f070f4104e8bf06bc11f6b2e7907f333feb8b25a332d4bbc31c0e066af489,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.01000000,N
2017-12-09 02:05,a8e8bc65c4ee8240bcd507c5bfbabcaddf982a821dc11c67d5982406f741fe16,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.02000000,N
2017-12-09 05:05,e6f8d14aeab2e8407fd7c0b1787cacccd18c61d1ca3d262572014d8a6682877c,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.01000000,N
2017-12-09 08:05,fd3c579139e1d29120a15ad21eaffd0bcd7a83b5ba3795fbd0adaeef035727d2,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.02000000,N
2017-12-09 19:06,5247b772e709fd95ae5eca1b7bfda3cdd850c23ecd37e2233a146c1094753729,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-10 07:05,0c898214324adc654f033771562b70928cad253a8a7ae887311649d38b53b355,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-10 19:05,8277c8c7ac5fab35ca9416b51d48da5747ef36c11637a0455771ee4b889bd69b,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-11 05:05,3a5c510dba78509f4c23a03f4d07969ba7ee869b2d2619c0b8e0c87bdec8b626,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-11 16:05,872422b0b5a267d32979252f4660a8685ec67057bcc93b99e5fabe79d830cca4,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-12 02:05,66843d938f12d58b3573e7ee6cd63e7daf545009622b0a968b05dd26c207db3e,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-12 15:05,43ead074cdf32a62927976754bd6d74e5a019767d705fa03f5038080020e79a3,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-13 04:05,042ec82f69a667a4bd9d3c0b584a5e976b64df0f20df8cd34963043547c51b03,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-13 17:05,ef2492b311d3edb7fa957516f8abd8c8ee70ca1593ed001ef31d55e7708d8ca0,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-14 06:05,896da2ce31b9b666fb8213ac46e9cb71df854f3c3e95668675541540952e91d3,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-14 19:05,f8b1940b96c4f35d79f3e93a3e9df85d3b49f06c48ff38c50cd6fd17b79085d1,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-15 08:05,b71f0b854f3fb7d3128fcf4f8c36c9d08f6e5f8f374142a2c243873cb7b07c15,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-15 21:05,66918ca792e618844d58dd00d6e12ffbc593a2ec3a68129b5e267ec8582d99a3,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-16 10:05,b800ccac3bd1b872dc5a17997f52858b509d332322cb45b869abf0069380a2fc,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-17 00:05,e99e58cfc8aa86ae7550b1ddedd8dd9a7d8fb260236d05f31a3fd13b02cb9159,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-17 13:05,a2b8effd2381123e2fb8ed6a777cd1af0abafb8e37d74fdb0a6594d9d3061426,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
2017-12-18 02:05,02bdd51f0be9031a92cedd8cca2914bebd88b28010e714d68ffd5cc7ad1cd66f,LQbQA8EqKW4huaG3GYBL7GHwv77aFZYJSk,0.05000000,N
